aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,cupper_points,moisture
7.55310606060606,7.573560606060607,7.440530303030303,7.511439393939394,7.544545454545455,7.531515151515151,9.884924242424242,9.853484848484849,9.94939393939394,7.562954545454545,0.08234848484848484
7.30375,7.3325,7.125,7.40625,7.27,7.13375,10.0,10.0,10.0,7.1775,0.01375
7.415,7.46,7.25,7.415,7.29,7.415,10.0,10.0,10.0,7.58,0.06
7.64125,7.625625,7.484375,7.578125,7.57375,7.548125,9.958125,9.958125,9.91625,7.646875,0.094375
7.653060109289617,7.597103825136612,7.5246994535519125,7.5600000000000005,7.609508196721311,7.708415300546449,9.934426229508198,9.94535519125683,9.952677595628415,7.620546448087431,0.062021857923497264
7.671372549019608,7.537254901960784,7.534509803921568,7.57392156862745,7.537450980392157,7.637254901960785,9.856274509803923,9.86921568627451,9.90843137254902,7.6635294117647055,0.08333333333333333
7.583333333333333,7.640000000000001,7.553333333333334,7.6933333333333325,6.026666666666666,6.97,10.0,10.0,8.723333333333334,8.026666666666666,0.03
7.674761904761904,7.654285714285715,7.567142857142857,7.590476190476191,7.606666666666667,7.711428571428572,9.936190476190475,9.936190476190475,9.808571428571428,7.563333333333334,0.045714285714285714
7.8963636363636365,8.009090909090908,7.893863636363636,8.043636363636365,7.92409090909091,7.972272727272727,9.87840909090909,9.954318181818183,9.86340909090909,8.048636363636364,0.08295454545454545
7.544861878453038,7.489005524861878,7.2668508287292815,7.596408839779006,7.475745856353591,7.469889502762431,9.852486187845304,9.889337016574586,9.870883977900553,7.3911049723756905,0.10226519337016575
7.153333333333333,6.998333333333334,7.111666666666667,7.126666666666666,7.276666666666666,7.0566666666666675,9.776666666666666,8.555,9.111666666666666,7.013333333333333,0.11
7.2924528301886795,7.2341509433962266,7.061509433962264,7.233584905660377,7.239245283018868,7.1639622641509435,9.647735849056604,9.635283018867925,9.660377358490566,7.189622641509434,0.10773584905660377
7.697857142857143,7.618571428571428,7.566428571428572,7.636428571428572,7.661428571428572,7.672857142857143,9.904285714285715,9.952142857142858,7.619285714285715,7.755714285714285,0.03785714285714286
7.648999999999999,7.573,7.4155,7.491,7.6315,7.5200000000000005,9.933,9.9665,9.9665,7.416500000000001,0.0985
7.75,7.75,7.75,7.42,8.08,7.83,10.0,10.0,10.0,8.08,0.12
7.7867999999999995,7.7824,7.7132000000000005,7.8660000000000005,7.7264,7.8004,9.9732,9.9732,9.9732,7.7132000000000005,0.08
7.5672727272727265,7.387272727272728,7.257272727272727,7.408181818181817,7.338181818181818,7.371818181818182,10.0,10.0,10.0,7.379090909090909,0.12454545454545456
7.25,7.25,7.17,7.17,7.25,7.17,10.0,10.0,10.0,7.25,0.12
7.454453781512606,7.375840336134454,7.222983193277311,7.424033613445379,7.38109243697479,7.328361344537815,9.743403361344537,9.661008403361345,9.97201680672269,7.31344537815126,0.11361344537815125
7.32923076923077,7.316923076923077,7.201923076923077,7.266538461538461,7.40076923076923,7.2784615384615385,9.794615384615385,9.76923076923077,9.820384615384615,7.278846153846154,0.10769230769230768
7.6675,7.625,7.605,7.705,7.5825,7.875,10.0,10.0,10.0,7.645,0.07
8.33,8.42,7.83,8.33,8.0,8.25,9.33,9.33,10.0,7.92,0.12
7.6930000000000005,7.6579999999999995,7.5409999999999995,7.699,7.802,7.6659999999999995,9.533,9.466,9.866,7.601000000000001,0.066
7.364,7.231999999999999,7.302,7.266,7.298,7.4,9.866,10.0,9.866,7.234,0.074
7.83,7.92,7.75,7.83,7.75,7.75,9.33,9.33,9.33,8.0,0.11
7.4840625,7.528125,7.4734375,7.5971875,7.5521875,7.5240625,9.9375,9.9584375,9.958125,7.5596875,0.0909375
7.884166666666666,7.752777777777778,7.6225000000000005,7.708611111111111,7.720000000000001,7.6625000000000005,10.0,10.0,9.363333333333333,7.73861111111111,0.11361111111111111
7.8340000000000005,7.992,7.85,7.935,7.8420000000000005,7.817,9.866,9.933,9.5,7.867,0.0
7.67,7.08,7.42,7.33,7.75,7.42,10.0,10.0,10.0,7.25,0.0
